date,balance,margin,available,short_balance,ery,long_balance,commission,net_pnl,count,turnover,return,high_level,draw_down,dd_percent,return_x
2020-05-21,111169.90588208007,10638.000732421802,100531.90514965827,110208.0848798828,{'rb2010.SHFE': 456.890996337891},110208.0848798828,53.109003662109004,456.8909963378974,9,31881.0021972654,0.0041183128517956885,111217.94489160155,-48.03900952148251,-0.04319357777047911,1.0041183128517956
2020-05-22,111176.75187841796,0.0,111176.75187841796,111626.79687841797,{'rb2010.SHFE': 6.845996337890995},111626.79687841797,53.154003662109005,6.845996337884571,6,21255.0014648436,6.157948501685543e-05,111217.94489160155,-41.19301318359794,-0.03703809958343203,1.000061579485017
2020-05-25,111104.64087548827,0.0,111104.64087548827,111183.59787475584,{'rb2010.SHFE': -72.1110029296872},111183.59787475584,42.1110029296872,-72.11100292968331,6,21057.0014648436,-0.000648826287851013,111217.94489160155,-113.30401611328125,-0.10187566064425384,0.999351173712149
2020-05-26,110339.52086816405,0.0,110339.52086816405,111032.52987255859,{'rb2010.SHFE': -765.120007324218},111032.52987255859,105.12000732421798,-765.1200073242217,15,52593.003662109004,-0.006910302317139489,111217.94489160155,-878.4240234375029,-0.7898222038661638,0.9930896976828605
2020-05-27,110827.17086450194,10488.000732421802,100339.17013208014,109574.40086083983,{'rb2010.SHFE': 487.649996337891},109574.40086083983,52.35000366210901,487.6499963378883,9,31389.0021972654,0.004409803146838016,111217.94489160155,-390.7740270996146,-0.35135879149761495,1.004409803146838
2020-05-28,111034.20986010741,10443.000732421802,100591.20912768561,111314.82086083983,{'rb2010.SHFE': 207.0389956054692},111314.82086083983,62.96100439453081,207.03899560547143,9,31470.0021972654,0.001866382107863286,111217.94489160155,-183.7350314941432,-0.16520268529797089,1.0018663821078633
2020-05-29,113931.88585717772,10608.000732421802,103323.88512475592,111241.24885571288,{'rb2010.SHFE': 2897.675997070313},111241.24885571288,42.324002929687204,2897.6759970703133,6,21162.0014648436,0.025762426576514636,113931.88585717772,0.0,0.0,1.0257624265765146
2020-06-01,114508.22485351561,0.0,114508.22485351561,116829.56185424804,{'rb2010.SHFE': 576.338996337891},116829.56185424804,53.661003662108996,576.3389963378868,6,21495.0014648436,0.005045875852406261,114508.22485351561,0.0,0.0,1.0050458758524063
2020-06-02,115864.5458498535,10752.000732421802,105112.5451174317,115084.5638498535,{'rb2010.SHFE': 1356.320996337891},115084.5638498535,53.679003662109004,1356.3209963378904,9,32220.0021972654,0.01177514741679262,115864.5458498535,0.0,0.0,1.0117751474167926
2020-06-03,117375.33384252929,10890.000732421802,106485.33311010749,117220.86684619139,{'rb2010.SHFE': 1510.787992675782},117220.86684619139,109.21200732421799,1510.7879926757887,15,54600.003662109004,0.01295498115015148,117375.33384252929,0.0,0.0,1.0129549811501515
2020-06-04,117658.76783740234,0.0,117658.76783740234,118886.12183520508,{'rb2010.SHFE': 283.43399487304737},118886.12183520508,76.5660051269526,283.4339948730485,9,32820.0021972654,0.002411855388157639,117658.76783740234,0.0,0.0,1.0024118553881576
2020-06-05,117122.21483154297,0.0,117122.21483154297,117942.20183227539,{'rb2010.SHFE': -536.5530058593745},117942.20183227539,86.55300585937442,-536.5530058593722,12,43299.0029296872,-0.004570676328698735,117658.76783740234,-536.5530058593722,-0.4560246683875337,0.9954293236713012
2020-06-08,117171.4928227539,0.0,117171.4928227539,116585.6618256836,{'rb2010.SHFE': 49.27799121093841},116585.6618256836,130.7220087890616,49.277991210939945,18,65352.004394530806,0.00042065143303193764,117658.76783740234,-487.27501464843226,-0.41414254424440206,1.0004206514330318
2020-06-09,117644.26281616211,10812.000732421802,106832.26208374031,117220.77081396485,{'rb2010.SHFE': 472.7699934082038},117220.77081396485,97.23000659179621,472.76999340820475,15,54015.003662109004,0.0040267368851526495,117658.76783740234,-14.505021240227506,-0.012328041085958518,1.0040267368851528
2020-06-10,117328.53081103516,0.0,117328.53081103516,118117.03280957032,{'rb2010.SHFE': -315.7320051269526},118117.03280957032,75.7320051269526,-315.73200512694893,9,32472.0021972654,-0.0026873936362873845,117658.76783740234,-330.23702636717644,-0.2806735379241308,0.9973126063637127
2020-06-11,116933.84780664062,0.0,116933.84780664062,117012.79880590821,{'rb2010.SHFE': -394.6830043945308},117012.79880590821,64.6830043945308,-394.6830043945374,9,32358.0021972654,-0.003369583969585419,117658.76783740234,-724.9200307617139,-0.6161207057373843,0.9966304160304146
2020-06-12,116787.57980078126,0.0,116787.57980078126,116539.16480224609,{'rb2010.SHFE': -146.2680058593744},116539.16480224609,86.26800585937441,-146.2680058593687,12,43137.0029296872,-0.001251644117119626,117658.76783740234,-871.1880366210826,-0.7404361380233171,0.9987483558828804
2020-06-15,116474.17879785156,0.0,116474.17879785156,116641.31179492189,{'rb2010.SHFE': -313.4010029296872},116641.31179492189,43.4010029296872,-313.40100292969146,6,21714.0014648436,-0.002687120198282733,117658.76783740234,-1184.589039550774,-1.0068004801714463,0.9973128798017172
